frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
78,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4253135,4253135,4135473,3844557,530,0.0703465,0,0
79,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4260690,4260690,4127918,3829410,536,0.0723144,0,0
80,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4257453,4260690,4131155,3825419,545,0.0740074,0,0
81,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4256525,4260690,4132083,3817258,552,0.0761904,0,0
82,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4264099,4264099,4124509,3813250,554,0.0754657,0,0
83,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4261267,4264099,4127341,3809876,558,0.0769176,0,0
84,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4264570,4264570,4124038,3802823,563,0.0778885,0,0
85,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4268474,4268474,4120134,3787285,567,0.080786,0,0
86,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4267133,4268474,4121475,3787285,570,0.081085,0,0
87,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4268125,4268474,4120483,3783523,581,0.0817768,0,0
88,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4257373,4268474,4131235,3783523,586,0.0841666,0,0
89,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4257822,4268474,4130786,3779623,597,0.0850112,0,0
90,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4248812,4268474,4139796,3779623,610,0.0870026,0,0
91,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4259758,4268474,4128850,3775731,611,0.0855248,0,0
92,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4251846,4268474,4136762,3775731,619,0.0872738,0,0
93,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4265125,4268474,4123483,3768700,629,0.0860396,0,0
94,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4260855,4268474,4127753,3768700,634,0.0869851,0,0
95,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4263013,4268474,4125595,3764742,635,0.0874669,0,0
96,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4266559,4268474,4122049,3764742,641,0.0866819,0,0
97,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4265286,4268474,4123322,3764742,641,0.0869639,0,0
98,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4258405,4268474,4130203,3764742,646,0.088485,0,0
99,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4254507,4268474,4134101,3764742,649,0.0893445,0,0
100,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4277906,4277906,4110702,3749942,655,0.0877612,0,0
101,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4262731,4277906,4125877,3749942,658,0.0911164,0,0
102,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4257655,4277906,4130953,3749942,660,0.0922332,0,0
103,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4255198,4277906,4133410,3749942,659,0.0927728,0,0
104,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4257318,4277906,4131290,3749942,667,0.0923072,0,0
105,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4252865,4277906,4135743,3749942,676,0.0932846,0,0
106,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4249504,4277906,4139104,3749942,678,0.0940208,0,0
107,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4256281,4277906,4132327,3749942,683,0.092535,0,0
108,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4261283,4277906,4127325,3745907,686,0.0924129,0,0
109,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4254535,4277906,4134073,3745907,692,0.0938943,0,0
110,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4268606,4277906,4120002,3738336,693,0.0926373,0,0
111,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4262844,4277906,4125764,3738336,692,0.0939045,0,0
112,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4264020,4277906,4124588,3734286,694,0.0946281,0,0
113,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4266886,4277906,4121722,3734286,704,0.0939986,0,0
114,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4258692,4277906,4129916,3730367,711,0.0967451,0,0
115,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4248768,4277906,4139840,3730367,720,0.0989103,0,0
116,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4251983,4277906,4136625,3726351,722,0.0991809,0,0
117,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4252437,4277906,4136171,3726351,724,0.099082,0,0
118,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4250942,4277906,4137666,3722352,727,0.100374,0,0
119,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4248016,4277906,4140592,3718326,728,0.101982,0,0
120,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4247191,4277906,4141417,3714336,736,0.103124,0,0
121,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4242025,4277906,4146583,3714336,737,0.104242,0,0
122,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4240964,4277906,4147644,3714336,743,0.104471,0,0
123,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4241693,4277906,4146915,3714336,758,0.104313,0,0
124,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4235273,4277906,4153335,3714336,760,0.105698,0,0
125,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4228536,4277906,4160072,3710702,768,0.10802,0,0
126,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4236424,4277906,4152184,3703307,775,0.108106,0,0
127,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4237493,4277906,4151115,3703307,777,0.107877,0,0
128,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4238455,4277906,4150153,3699703,779,0.108538,0,0
129,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4238521,4277906,4150087,3699703,784,0.108524,0,0
130,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4231384,4277906,4157224,3699703,789,0.110054,0,0
131,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4227053,4277906,4161555,3695640,794,0.111957,0,0
132,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4230272,4277906,4158336,3695640,795,0.11127,0,0
133,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4234387,4277906,4154221,3683827,798,0.113233,0,0
134,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4225086,4277906,4163522,3683827,799,0.115214,0,0
135,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4221654,4277906,4166954,3683827,800,0.115942,0,0
136,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4226780,4277906,4161828,3683827,802,0.114854,0,0
137,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4227286,4277906,4161322,3683827,804,0.114746,0,0
138,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4228511,4277906,4160097,3679738,804,0.115468,0,0
139,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4229288,4277906,4159320,3679738,810,0.115303,0,0
140,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4232663,4277906,4155945,3672300,811,0.116374,0,0
141,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4224451,4277906,4164157,3672300,819,0.118117,0,0
142,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4217238,4277906,4171370,3672300,823,0.119642,0,0
143,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4213242,4277906,4175366,3672300,825,0.120484,0,0
144,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4199220,4277906,4189388,3672300,824,0.123428,0,0
145,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4206904,4277906,4181704,3672300,834,0.121817,0,0
146,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4202221,4277906,4186387,3672300,839,0.1228,0,0
147,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4185191,4277906,4203417,3672300,838,0.126354,0,0
148,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4191897,4277906,4196711,3672300,838,0.124958,0,0
149,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4193982,4277906,4194626,3672300,838,0.124523,0,0
150,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4183649,4277906,4204959,3672300,836,0.126674,0,0
151,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4178158,4277906,4210450,3672300,836,0.127813,0,0
152,fragmentation,0,12000,2000,555168,555168,0,25652,50000,38000,4178545,4277906,4210063,3672300,837,0.127733,0,0
