frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
90,steady,0,20000,1126,835168,835168,0,25652,50000,30000,625753,625753,7762855,7741579,181,0.00274074,0,0
91,steady,0,20000,1129,835168,835168,0,25652,50000,30000,629627,629627,7758981,7736555,191,0.00289033,0,0
92,steady,0,20000,1131,835168,835168,0,25652,50000,30000,634056,634056,7754552,7729181,201,0.00327176,0,0
93,steady,0,20000,1139,835168,835168,0,25652,50000,30000,637280,637280,7751328,7726818,201,0.00316204,0,0
94,steady,0,20000,1149,835168,835168,0,25652,50000,30000,642034,642034,7746574,7724584,200,0.00283867,0,0
95,steady,0,20000,1148,835168,835168,0,25652,50000,30000,638708,642034,7749900,7724584,204,0.00326662,0,0
96,steady,0,20000,1149,835168,835168,0,25652,50000,30000,637998,642034,7750610,7723556,213,0.00349056,0,0
97,steady,0,20000,1155,835168,835168,0,25652,50000,30000,640691,642034,7747917,7721923,220,0.00335497,0,0
98,steady,0,20000,1162,835168,835168,0,25652,50000,30000,644100,644100,7744508,7718948,226,0.0033004,0,0
99,steady,0,20000,1170,835168,835168,0,25652,50000,30000,645578,645578,7743030,7717979,229,0.0032353,0,0
100,steady,0,20000,1176,835168,835168,0,25652,50000,30000,648014,648014,7740594,7715181,231,0.00328308,0,0
101,steady,0,20000,1180,835168,835168,0,25652,50000,30000,648743,648743,7739865,7713665,237,0.00338507,0,0
102,steady,0,20000,1186,835168,835168,0,25652,50000,30000,652154,652154,7736454,7709951,238,0.00342573,0,0
103,steady,0,20000,1187,835168,835168,0,25652,50000,30000,651304,652154,7737304,7708906,250,0.00367027,0,0
104,steady,0,20000,1191,835168,835168,0,25652,50000,30000,653188,653188,7735420,7706840,255,0.00369469,0,0
105,steady,0,20000,1193,835168,835168,0,25652,50000,30000,655057,655057,7733551,7704871,264,0.00370852,0,0
106,steady,0,20000,1196,835168,835168,0,25652,50000,30000,657203,657203,7731405,7702325,270,0.00376128,0,0
107,steady,0,20000,1196,835168,835168,0,25652,50000,30000,658240,658240,7730368,7700798,281,0.00382517,0,0
108,steady,0,20000,1198,835168,835168,0,25652,50000,30000,656392,658240,7732216,7700798,287,0.00406326,0,0
109,steady,0,20000,1199,835168,835168,0,25652,50000,30000,657481,658240,7731127,7698983,298,0.00415774,0,0
110,steady,0,20000,1200,835168,835168,0,25652,50000,30000,657946,658240,7730662,7698237,296,0.00419434,0,0
111,steady,0,20000,1199,835168,835168,0,25652,50000,30000,654925,658240,7733683,7698237,296,0.00458333,0,0
112,steady,0,20000,1202,835168,835168,0,25652,50000,30000,657544,658240,7731064,7696265,305,0.00450119,0,0
113,steady,0,20000,1205,835168,835168,0,25652,50000,30000,660696,660696,7727912,7692527,305,0.00457886,0,0
114,steady,0,20000,1206,835168,835168,0,25652,50000,30000,661626,661626,7726982,7690317,312,0.00474506,0,0
115,steady,0,20000,1208,835168,835168,0,25652,50000,30000,665249,665249,7723359,7685876,319,0.0048532,0,0
116,steady,0,20000,1209,835168,835168,0,25652,50000,30000,668147,668147,7720461,7678752,325,0.0054024,0,0
117,steady,0,20000,1209,835168,835168,0,25652,50000,30000,666035,668147,7722573,7678752,327,0.0056744,0,0
118,steady,0,20000,1213,835168,835168,0,25652,50000,30000,667543,668147,7721065,7677748,331,0.00561024,0,0
119,steady,0,20000,1210,835168,835168,0,25652,50000,30000,665797,668147,7722811,7677012,335,0.00593035,0,0
120,steady,0,20000,1208,835168,835168,0,25652,50000,30000,662764,668147,7725844,7677012,341,0.0063206,0,0
121,steady,0,20000,1208,835168,835168,0,25652,50000,30000,664229,668147,7724379,7674262,351,0.00648816,0,0
122,steady,0,20000,1209,835168,835168,0,25652,50000,30000,663542,668147,7725066,7672446,358,0.00681159,0,0
123,steady,0,20000,1204,835168,835168,0,25652,50000,30000,661649,668147,7726959,7671392,364,0.00719132,0,0
124,steady,0,20000,1197,835168,835168,0,25652,50000,30000,658646,668147,7729962,7671392,373,0.00757701,0,0
125,steady,0,20000,1196,835168,835168,0,25652,50000,30000,657378,668147,7731230,7671392,377,0.00773978,0,0
126,steady,0,20000,1196,835168,835168,0,25652,50000,30000,658113,668147,7730495,7671392,381,0.00764544,0,0
127,steady,0,20000,1198,835168,835168,0,25652,50000,30000,658690,668147,7729918,7671392,383,0.00757136,0,0
128,steady,0,20000,1201,835168,835168,0,25652,50000,30000,662242,668147,7726366,7671392,377,0.00711512,0,0
129,steady,0,20000,1201,835168,835168,0,25652,50000,30000,663369,668147,7725239,7668554,378,0.00733764,0,0
130,steady,0,20000,1198,835168,835168,0,25652,50000,30000,663054,668147,7725554,7666712,381,0.00761654,0,0
131,steady,0,20000,1194,835168,835168,0,25652,50000,30000,661241,668147,7727367,7666712,391,0.00784937,0,0
132,steady,0,20000,1189,835168,835168,0,25652,50000,30000,658511,668147,7730097,7666712,393,0.00819977,0,0
133,steady,0,20000,1190,835168,835168,0,25652,50000,30000,657075,668147,7731533,7666712,394,0.00838398,0,0
134,steady,0,20000,1195,835168,835168,0,25652,50000,30000,661921,668147,7726687,7663748,392,0.00814566,0,0
135,steady,0,20000,1193,835168,835168,0,25652,50000,30000,660156,668147,7728452,7662706,396,0.00850701,0,0
136,steady,0,20000,1190,835168,835168,0,25652,50000,30000,656911,668147,7731697,7662706,399,0.00892314,0,0
137,steady,0,20000,1193,835168,835168,0,25652,50000,30000,657407,668147,7731201,7662706,394,0.00885955,0,0
138,steady,0,20000,1196,835168,835168,0,25652,50000,30000,659939,668147,7728669,7661731,400,0.008661,0,0
139,steady,0,20000,1195,835168,835168,0,25652,50000,30000,660933,668147,7727675,7661731,403,0.00853349,0,0
140,steady,0,20000,1189,835168,835168,0,25652,50000,30000,656450,668147,7732158,7661731,411,0.00910832,0,0
141,steady,0,20000,1186,835168,835168,0,25652,50000,30000,655180,668147,7733428,7661731,414,0.00927105,0,0
142,steady,0,20000,1184,835168,835168,0,25652,50000,30000,655599,668147,7733009,7661731,415,0.00921737,0,0
143,steady,0,20000,1189,835168,835168,0,25652,50000,30000,658578,668147,7730030,7661731,412,0.00883554,0,0
144,steady,0,20000,1197,835168,835168,0,25652,50000,30000,662935,668147,7725673,7660769,411,0.00840108,0,0
145,steady,0,20000,1199,835168,835168,0,25652,50000,30000,665194,668147,7723414,7659752,412,0.00824273,0,0
146,steady,0,20000,1201,835168,835168,0,25652,50000,30000,667657,668147,7720951,7657704,413,0.00819161,0,0
147,steady,0,20000,1208,835168,835168,0,25652,50000,30000,672933,672933,7715675,7653826,413,0.00801602,0,0
148,steady,0,20000,1200,835168,835168,0,25652,50000,30000,672033,672933,7716575,7650917,415,0.0085087,0,0
149,steady,0,20000,1201,835168,835168,0,25652,50000,30000,674706,674706,7713902,7649944,417,0.00829126,0,0
150,steady,0,20000,1197,835168,835168,0,25652,50000,30000,674933,674933,7713675,7648009,418,0.00851293,0,0
151,steady,0,20000,1191,835168,835168,0,25652,50000,30000,673523,674933,7715085,7646260,423,0.00892083,0,0
152,steady,0,20000,1193,835168,835168,0,25652,50000,30000,676819,676819,7711789,7643412,427,0.00886655,0,0
153,steady,0,20000,1192,835168,835168,0,25652,50000,30000,675863,676819,7712745,7643412,428,0.00898941,0,0
154,steady,0,20000,1186,835168,835168,0,25652,50000,30000,671801,676819,7716807,7643412,431,0.00951106,0,0
155,steady,0,20000,1178,835168,835168,0,25652,50000,30000,666032,676819,7722576,7643412,433,0.010251,0,0
156,steady,0,20000,1181,835168,835168,0,25652,50000,30000,667916,676819,7720692,7643412,436,0.0100095,0,0
157,steady,0,20000,1178,835168,835168,0,25652,50000,30000,663553,676819,7725055,7643412,438,0.0105686,0,0
158,steady,0,20000,1175,835168,835168,0,25652,50000,30000,663069,676819,7725539,7643412,444,0.0106306,0,0
159,steady,0,20000,1174,835168,835168,0,25652,50000,30000,663787,676819,7724821,7643412,445,0.0105386,0,0
160,steady,0,20000,1179,835168,835168,0,25652,50000,30000,665872,676819,7722736,7643412,448,0.0102715,0,0
161,steady,0,20000,1184,835168,835168,0,25652,50000,30000,667958,676819,7720650,7643412,447,0.0100041,0,0
162,steady,0,20000,1181,835168,835168,0,25652,50000,30000,665141,676819,7723467,7643412,443,0.0103652,0,0
163,steady,0,20000,1190,835168,835168,0,25652,50000,30000,670553,676819,7718055,7643412,444,0.00967122,0,0
164,steady,0,20000,1186,835168,835168,0,25652,50000,30000,669552,676819,7719056,7643412,442,0.00979964,0,0
165,steady,0,20000,1187,835168,835168,0,25652,50000,30000,667132,676819,7721476,7643412,445,0.01011,0,0
166,steady,0,20000,1191,835168,835168,0,25652,50000,30000,668823,676819,7719785,7643412,443,0.00989315,0,0
167,steady,0,20000,1195,835168,835168,0,25652,50000,30000,672178,676819,7716430,7643412,444,0.00946267,0,0
168,steady,0,20000,1192,835168,835168,0,25652,50000,30000,671855,676819,7716753,7643412,444,0.00950413,0,0
