frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
163,burst,0,20000,1332,835168,835168,0,25652,50000,30000,1451980,1463047,6936628,6794803,485,0.0204458,0,0
164,burst,0,20000,1327,835168,835168,0,25652,50000,30000,1452183,1463047,6936425,6794803,486,0.0204171,0,0
165,burst,0,20000,1321,835168,835168,0,25652,50000,30000,1449533,1463047,6939075,6790877,493,0.021357,0,0
166,burst,0,20000,1319,835168,835168,0,25652,50000,30000,1439977,1463047,6948631,6790877,498,0.0227029,0,0
167,burst,0,20000,1324,835168,835168,0,25652,50000,30000,1446455,1463047,6942153,6790877,499,0.0217909,0,0
168,burst,0,20000,1321,835168,835168,0,25652,50000,30000,1447352,1463047,6941256,6790877,499,0.0216645,0,0
169,burst,0,20000,1325,835168,835168,0,25652,50000,30000,1453555,1463047,6935053,6788814,501,0.0210869,0,0
170,burst,0,20000,1324,835168,835168,0,25652,50000,30000,1448324,1463047,6940284,6788814,502,0.0218248,0,0
171,burst,0,20000,1319,835168,835168,0,25652,50000,30000,1434742,1463047,6953866,6788814,505,0.0237353,0,0
172,burst,0,20000,1318,835168,835168,0,25652,50000,30000,1431413,1463047,6957195,6788814,509,0.0242024,0,0
173,burst,0,20000,1321,835168,835168,0,25652,50000,30000,1435654,1463047,6952954,6788814,510,0.0236072,0,0
174,burst,0,20000,1319,835168,835168,0,25652,50000,30000,1426051,1463047,6962557,6788814,515,0.0249539,0,0
175,burst,0,20000,1320,835168,835168,0,25652,50000,30000,1429978,1463047,6958630,6788814,520,0.0244037,0,0
176,burst,0,20000,1317,835168,835168,0,25652,50000,30000,1426880,1463047,6961728,6788814,521,0.0248378,0,0
177,burst,0,20000,1314,835168,835168,0,25652,50000,30000,1427816,1463047,6960792,6788814,525,0.0247067,0,0
178,burst,0,20000,1316,835168,835168,0,25652,50000,30000,1436483,1463047,6952125,6788814,526,0.0234908,0,0
179,burst,0,20000,1315,835168,835168,0,25652,50000,30000,1434258,1463047,6954350,6788814,530,0.0238032,0,0
180,burst,0,20000,1312,835168,835168,0,25652,50000,30000,1436975,1463047,6951633,6788814,534,0.0234217,0,0
181,burst,0,20000,1314,835168,835168,0,25652,50000,30000,1440200,1463047,6948408,6788814,541,0.0229684,0,0
182,burst,0,20000,1317,835168,835168,0,25652,50000,30000,1445047,1463047,6943561,6782897,543,0.0231386,0,0
183,burst,0,20000,1312,835168,835168,0,25652,50000,30000,1436301,1463047,6952307,6782897,540,0.0243675,0,0
184,burst,0,20000,1307,835168,835168,0,25652,50000,30000,1428171,1463047,6960437,6782897,541,0.025507,0,0
185,burst,0,20000,1305,835168,835168,0,25652,50000,30000,1433769,1463047,6954839,6782897,543,0.0247226,0,0
186,burst,0,20000,1302,835168,835168,0,25652,50000,30000,1431521,1463047,6957087,6782897,545,0.0250378,0,0
187,burst,0,20000,1298,835168,835168,0,25652,50000,30000,1430554,1463047,6958054,6782897,541,0.0251733,0,0
188,burst,0,20000,1298,835168,835168,0,25652,50000,30000,1424729,1463047,6963879,6782897,543,0.0259887,0,0
189,burst,0,20000,1296,835168,835168,0,25652,50000,30000,1419626,1463047,6968982,6782897,545,0.0267019,0,0
190,burst,0,20000,1289,835168,835168,0,25652,50000,30000,1412931,1463047,6975677,6782897,544,0.027636,0,0
191,burst,0,20000,1289,835168,835168,0,25652,50000,30000,1412544,1463047,6976064,6782897,546,0.02769,0,0
192,burst,0,20000,1292,835168,835168,0,25652,50000,30000,1418722,1463047,6969886,6782897,545,0.0268281,0,0
193,burst,0,20000,1280,835168,835168,0,25652,50000,30000,1405124,1463047,6983484,6782897,547,0.0287231,0,0
194,burst,0,20000,1267,835168,835168,0,25652,50000,30000,1389537,1463047,6999071,6782897,554,0.0308861,0,0
195,burst,0,20000,1272,835168,835168,0,25652,50000,30000,1395647,1463047,6992961,6782897,553,0.0300393,0,0
196,burst,0,20000,1261,835168,835168,0,25652,50000,30000,1385321,1463047,7003287,6782897,558,0.0314695,0,0
197,burst,0,20000,1265,835168,835168,0,25652,50000,30000,1390806,1463047,6997802,6782897,556,0.0307104,0,0
198,burst,0,20000,1262,835168,835168,0,25652,50000,30000,1388248,1463047,7000360,6782897,558,0.0310645,0,0
199,burst,0,20000,1257,835168,835168,0,25652,50000,30000,1379057,1463047,7009551,6782897,567,0.032335,0,0
200,burst,0,20000,1259,835168,835168,0,25652,50000,30000,1383224,1463047,7005384,6782897,566,0.0317594,0,0
201,burst,0,20000,1260,835168,835168,0,25652,50000,30000,1382962,1463047,7005646,6782897,560,0.0317956,0,0
202,burst,0,20000,1252,835168,835168,0,25652,50000,30000,1372647,1463047,7015961,6782897,559,0.0332191,0,0
203,burst,0,20000,1248,835168,835168,0,25652,50000,30000,1367031,1463047,7021577,6782897,555,0.0339924,0,0
204,burst,0,20000,1243,835168,835168,0,25652,50000,30000,1360049,1463047,7028559,6782897,554,0.034952,0,0
